Name, Region, Type, Ownership, Location, Services, NHIS accredited
COCOA CLINIC,Greater Accra Region,tertiary hospital,rivate,Bubiashie Roundabout,general services          eye services ,yes
COMFORT DRUGS INT COMPANY LTD,Greater Accra Region,Pharmacy,rivate,MONSOUR ROAD PARADISE EST DOME,Pharmacy,yes
CONERT PHARMA LIMITED,,Pharmacy,rivate,EAST LEGON  IPS ROAD  BOX CT 2285 CANTONMENTS,Pharmacy,yes
CRESCENT CHEMIST,Greater Accra Region,Pharmacy,rivate,H/NO B106/11 DARKUMAN,Pharmacy,yes
CROCODILE MATCHET CLINIC,Greater Accra Region,Clinic,rivate,HEAVY INDUSTRAL AREA,General,yes
DANFA HEALTH CENTRE,Greater Accra Region,Health Centre,overnment,DANFA,General,yes
DANGBE  COMMUNITY HOSPITAL,Greater Accra Region,Primary Hospital,rivate,NEW NINGO,General,yes
DANGBE WEST DISTRICT HOSPITAL,Greater Accra Region,Primary Hospital,overnment,DODOWA,General,yes
DANGME EAST DISTRICT HOSPITAL,Greater Accra Region,Primary Hospital,overnment,FAITHKOPE,General,yes
DANPONG CLINIC,Greater Accra Region,primary hospital,rivate,67 NUNGUA LINK  SPINTEX ROAD BAATSONA,General services  pharmacy  laboratory,yes
DANPONG LABORATORY,Greater Accra Region,lab,rivate,67 NUNGUA LINK  SPINTEX ROAD  BAATSONA,General services  laboratory,yes
DANPONG PHARMACY,Greater Accra Region,pharmacy,rivate,67 NUNGUA LINK  SPINTEX ROAD  BAATSONA,,yes
DANSOMAN POLYCLINIC,Greater Accra Region,POLYClinic,overnment,DANSOMAN,General,yes
DAWHENYA CHPS ZONE,Greater Accra Region,CHPS Compound,overnment,DAWHENYA,General,yes
DAYDEN PHARMACY,Greater Accra Region,Pharmacy,rivate,SOUTH LA ESTATES NEAR LA GEN HOSPITAL,Pharmacy,yes
DELA CLINIC,,Clinic,rivate,REDCO FLATS  P.O.BOX MD 190 MADINA,General,yes
DELAPE MATERNITY HOME,Greater Accra Region,Maternity Home,rivate,NKRUMAH CIRCLE-TESANO ABEKA JUNCTION,Antenatal  Post-natal,yes
DELCIELO OPTICAL SERVICES,Greater Accra Region,eye clinic,rivate,Kaneshie highway,general services          eye services ,yes
DESERET HOSPITAL,Greater Accra Region,Primary Hospital,rivate,NORTH DESERET SOWUTUOM,General,yes
DIAGNOSTIC CENTRE,Greater Accra Region,Diagnostic Centre,rivate,3 MASERU STREET EAST LEGON,Diagnostic,yes
DIPLOMAT SPECIALISTS MEDICAL LABORATORY CENTER,Greater Accra Region,laboratory,rivate,TEMA COMMUNITY 8,general services  laboratory,no
DIVINE CLINIC SERVICES,Greater Accra Region,Clinic,rivate,LA GENERAL HOSPITAL OPPOSITE 4TH GATE,General,yes
DODOWA PHARMACEUTICALS LTD,Greater Accra Region,Pharmacy,rivate,NEW DODOWA RD OPP DODOWA HOSP,Pharmacy,yes
DOME COMMUNITY CLINIC,Greater Accra Region,clinic,rivate,DOME KWABENYA STR. DOME,General,yes
DOME SAPAMAN CHPS,Greater Accra Region,CHPS Compound,overnment,DOME SAMPAMAN,General,yes
DS SPRING CHEMIST LTD.,Greater Accra Region,Pharmacy,rivate,TEMA,Pharmacy,yes
DUA CLINIC (MERCURY/PLATINUM PLUS ONLY),Greater Accra Region,tertiary hospital,rivate,C914/3 5th crescent  Asylum Down,general services           ,yes
DUFFOR HEALTH CENTER,,Health Centre,overnment,DUFFOR-OSUDOKU  P. O. BOX 46 AKUSE-ASUTSUARE,General,yes
DUNAMIS MATERNITYHHOME,Greater Accra Region,Maternity Home,rivate,AFARIWAA JUNCTION MICHEL CAMP ROAD,Antenatal  Post-natal,yes
DZIRAM EYE CLINIC,,EYE Clinic,rivate,MANTSE OKLE  HNO. 42  BOX SR 444 SPINTEX ROAD,Eye care,yes
ECCLESIA MEDICAL &EYE; CENTRE,Greater Accra Region,Primary Hospital,rivate,GBETSILE-TEMA,General,yes
EFAN VICTORY CLINIC,Greater Accra Region,Clinic,rivate,PIGFARM TROTRO STATION,General,yes
EGON GERMAN CLINIC,Greater Accra Region,tertiary hospital,rivate,NO.108  Yiyiwa Drive. Abelenkpe.,general services  scan    laboratory pediatrics surgery   ,yes
EL SHADDAI CLINIC,Greater Accra Region,Clinic,rivate,DARKUMAN-NYAMEKYE,General,yes
EL-BETHEL CLINIC /MATERNITY HOME,Greater Accra Region,Clinic,rivate,ANYAA SCH JUNCTION,General,yes
EMMANUEL EYE/MEDICAL CENTRE SHIASHIE,Greater Accra Region,eye clinic,ission,NO.2 ADAMAFIO LINK SHIASHIE,Eye care,yes
ENGLESHI AMANFRO HEALTH CENTRE,Greater Accra Region,Health Centre,overnment,MAALAM JUNCTION,General,yes
ENIMIRA PHARMACY,Greater Accra Region,Pharmacy,rivate,ACHIMOTA MARKET,Pharmacy,yes
EQUITY PHARMACY,Greater Accra Region,pharmacy,rivate,Few Mtres away from french School,general services     pharmacy      ,no
ERIC HEYMANN MEMORIAL CLINIC,,Clinic,rivate,OPPOSITE FAIR JACK PARK  BOX CT 4242  CANTONMENT,General,yes
ESIDEM HOSPITAL MADINA,Greater Accra Region,Primary Hospital,rivate,NO. 171 IPS -ARS ROAD   MADINA,General,yes
EUREKA MEDICAL LABORATORY,Greater Accra Region,Laboratory,rivate,8TH LILY STREET EAST-LEGON,Laboratory,yes
FABBY CHEMISTS,Greater Accra Region,Pharmacy,rivate,NUNGUA-TEMA MAIN RD,Pharmacy,yes
FAIR LADY CLINIC,Greater Accra Region,Clinic,rivate,EAST LEGON,General,yes
FAIRMYLE CHEMIST,Greater Accra Region,Pharmacy,rivate,50 WESTLAND BOULEVARD WEST LEGON,Pharmacy,yes
FAITH  MEDICAL CENTRE,Greater Accra Region,clinic,rivate,Kpone Car Park,general services  scan  antenatal pharmacy laboratory pediatrics surgery   ,yes
FAITH EVANGELICAL MISSION CLINIC,Greater Accra Region,Health Centre,ission,BUBUASHIE ATICO,General,yes
FAITH EVANGELICAL MISSION HOSPITAL,,Primary Hospital,ission,KPETENKPLE STREET ATICO-BUBUASHIE  BOX AN 11601  ACCRA-NORTH,General,yes
FAITH MEDICAL CENTRE,Greater Accra Region,clinic,rivate,ALAJO,General,yes
FAMILY HEALTH HOSPITAL,Greater Accra Region,Primary Hospital,rivate,TESHIE-NUNGUA BEACH ROAD,General,yes
FINGER OF GOD MATERNITY HOME,Greater Accra Region,Maternity Home,rivate,HNO. 17/2 ADJELELAMNOR TESHIE,Antenatal  Post-natal,yes
FINO CHEMIST,,Pharmacy,rivate,GCB  ASHAIMAN  BOX 1190,Pharmacy,yes
FOCOS ORTHOPAEDIC HOSPITAL,Greater Accra Region,secondary hospital,rivate,Behind Pantang Psychiatric Hospital  near WAEC Office,general services  scan  pharmacy  laboratory  surgery ,no
FOUNTAIN PHARMACY,Greater Accra Region,Pharmacy,rivate,MAMPROBI,Pharmacy,yes
FRANCOGINA ENTERPRISE,Greater Accra Region,Pharmacy,rivate,MACARTHY HILL JUNCTION/AMASAMAN,Pharmacy,yes
FRANSKO MATERNITY HOME,Greater Accra Region,Maternity Home,rivate,MADINA OLD ROAD,Antenatal  Post-natal,yes
FRED'S PHARMACY,Greater Accra Region,Pharmacy,rivate,H/NO B401/12 ODORKOR-KWASHIEMAN RD,Pharmacy,yes
FREDAN PHARMACEUTICAL LIMITED,,Pharmacy,rivate,ACHIMOTA NEAR NEW OVERHEAD  BOX GP 2377.ACCRA,Pharmacy,yes
FREE MART PHARMACY LTD,Greater Accra Region,Pharmacy,rivate,PALACE STREET NORTH KANESHIE,Pharmacy,yes
GA SOUTH DISTRICT HOSPITAL (CDH),Greater Accra Region,Primary Hospital,overnment,MACARTHY HILL DOWN,General,yes
GA WEST MUNICIPAL HOSPITAL(AMASAMAN),Greater Accra Region,Primary Hospital,overnment,OPPOSITE FIRE SERVICE AMASAMAN,General,yes
GAK CLINIC,Greater Accra Region,Clinic,rivate,OSU LINK,General,yes
GBC CLINIC,,Health Centre,overnment,KANDA  BOX 1633 ACCRA,General,yes
GENERAL FAMILY HOSPITAL,Greater Accra Region,Primary Hospital,rivate,ASHIAMAN-LEBANON ZONE 5,General,yes
GERIAN PHARMACY LTD,Greater Accra Region,Pharmacy,rivate,SUKURA MARKET,Pharmacy,yes
GHACEM CLINIC,Greater Accra Region,Clinic,overnment,MAIN HARBOUR AREA,General,yes
GHANA ATOMIC ENERGY COMMISSION  CLINIC,Greater Accra Region,clinic,overnment,ATOMIC KWABENYA,General,yes
GHANA PORTS AND HARBOURS AUTHORITY CLINIC,Greater Accra Region,Clinic,rivate,TEMA,General,yes
GHANA POST CLINIC,Greater Accra Region,clinic,rivate,General Post Office Accra Central,General services  ECG services  pharmacy  laboratory,yes
GIBBS & JUBILEE MEDCALS LTD (PHARMACY),Greater Accra Region,Pharmacy,rivate,NEAR ASHONMAN COMMUNITY HOSP,Pharmacy,yes
GIBBS &JUBILEE; MEDICAL LTD,Greater Accra Region,Laboratory,rivate,NEW ASHONGMAN ESTATE RD NEAR COMM'TY HOSPITAL ASHONGMAN,Laboratory,yes
GLEFE CHPS COMPOUND,,CHPS Compound,overnment,NII ADU LINK NEAR ASSEMBLIES OF GOD CH. GLEFE  C/O MAMPROBI POLYCLINC BOX 1255  MAMPROBI,General,yes
GLOBAL MEDICAL SOLUTIONS,Greater Accra Region,Diagnostic Centre,rivate,DODOWA-NUMASI NEW ROAD,Diagnostic,yes
GODIA CLINIC,Greater Accra Region,Clinic,rivate,DAWHENYA NEAR PRAMPRAM,General,yes
GRAND REDEEMER MEDICAL LABORATORY,,Laboratory,rivate,IST FLOOR KANESHIE MARKET  BOX KN326 KANESHIE,Laboratory,yes
GRAPHIC COMMUNICATIONS GROUP LTD CLINIC,Greater Accra Region,Clinic,overnment,KWAME NKRUMAH AVENUE,General,yes
GREENFIELD PHARMACY,Greater Accra Region,Pharmacy,rivate,OPP CAMEL PLUS ASERE AYITEY ST KANESHIE,Pharmacy,yes
GREENFIELD PHARMACY,Greater Accra Region,pharmacy,rivate,KANESHIE NEAR COCOA CLINIC,General services  pharmacy,yes
H&H; MEDICAL LABORATORY,Greater Accra Region,Laboratory,rivate,KPAKPO MAKRALO ST MATAHEKO,Laboratory,yes
HAJJ ABDULAI YARO MEMORIAL CLINIC AND MATERNITY,,Clinic,rivate,NO.48 ODOI KWAO STREET  P.O.BOX GP 21069,General,yes
HEALTH BOX PHARMACY,Greater Accra Region,Pharmacy,rivate,RAPTURE JUNCTION MANNA RD T/NUNGUA,Pharmacy,yes
HEALTH CONSULT PHARMACY,,Pharmacy,rivate,CENTURY RD NEAR MANNA Mission  TESHIE NUNGUA  BOX 3345. ACCRA,Pharmacy,yes
HEALTH QUEST LTD,Greater Accra Region,Pharmacy,rivate,PALMWINE JUNCTION-LABADI,Pharmacy,yes
HEALTH WATCH PHARMACY,Greater Accra Region,Pharmacy,rivate,BURMACAMP COMPUTER CENTRE,Pharmacy,yes
HEALTH WATCH PHARMACY,Greater Accra Region,Pharmacy,rivate,28 SAMORA MICHEZ RD,Pharmacy,yes
HEALTHBAG PHARMACY,Greater Accra Region,Pharmacy,rivate,MADINA WEST (ZONGO),Pharmacy,yes
HEALTHLINE MEDICAL LTD,Greater Accra Region,laboratory,rivate,KWASHIEMAN,general services  laboratory,yes
HEALTHSTAR PHARMACY,Greater Accra Region,Pharmacy,rivate,KASSEH ADA JUNCTION ADJACENT GCB,Pharmacy,yes
HEM PHARMACY LTD,Greater Accra Region,Pharmacy,rivate,TEMA,Pharmacy,yes
HIGHWAY DENTAL CLINIC,,Dental Clinic,rivate,NO. 166. NIMA HIGHWAY-MAMOBI  BOX CT 2292 CANTOMENT- ACCRA,Dental,yes
HILLS PHARMACY,Greater Accra Region,Pharmacy,rivate,OPP CHILDREN'S HOSPITAL DERBY AVENUE,Pharmacy,yes
HMS MEDCAL LABORATORY SERVICE,Greater Accra Region,Laboratory,rivate,NIMA HIGHWAY  ADJ NIMA POLICE BARRACKS,Laboratory,yes
HOBATS CLINIC,Greater Accra Region,Clinic,rivate,TESANO,General,yes
HOBATS CLINIC LTD,Greater Accra Region,health centre,rivate,opposite Former Tesano GNTC,general services       pediatrics    ,yes
HOBET PHARMACY LTD,Greater Accra Region,Pharmacy,rivate,AGBOGBA ADJACENT TOP HERBAL Clinic,Pharmacy,yes
HOLY CROSS CLINIC & MATERNITY,Greater Accra Region,Clinic,rivate,3 ST PAULS' ST LATERBIOKOSHIE,General,yes
HOLY HEIGHTS CLINIC,,Clinic,rivate,KOKOMLEMLE  BOX AN5119  ACCRA,General,yes
HOLY TRINITY,Greater Accra Region,tertiary hospital,overnment,North Kaneshie,general services       pediatrics   eye services ,yes
HOME HEALTH GHANA,Greater Accra Region,primary hospital,rivate,ACHIMOTA,General services,no
IRAN CLINIC,Greater Accra Region,Clinic,ission,FAANOFA ROAD ADABRAKA,General,yes
JACOB DENTAL LTD,Greater Accra Region,clinic,rivate,Madina Central Market,general services         dental  ,yes
JAYNE E. BOAHENE LICENSED CHEMICAL SHOP,,Chemical Shop,rivate,H/NO 100 SAMANPA ESTATE DOWN ASHONGMAN  BOX AT 1008 ACHIMOTA MARKET,Pharmacy,yes
JEAVCO SPECIALISTS MEDICAL LABORATORY,Greater Accra Region,Laboratory,rivate,HOSPITAL RD C10 JUNCTION,Laboratory,yes
JESKA PHARMACY,Greater Accra Region,Pharmacy,rivate,H/NO 82 CHEMU RD NEW MAMPROBI,Pharmacy,yes
JILAC SPECIALIST CLINIC,Greater Accra Region,Clinic,rivate,DOME WEST,General,yes
JIMBECK PHARMACY,Greater Accra Region,Pharmacy,rivate,TESHIE-TEBIBIANO NEAR BAPTIST CHURCH,Pharmacy,yes
JOANA CLINIC LTD,Greater Accra Region,Clinic,rivate,FAANOFA ROAD KOKOMLEMLE,General,yes
JOY FAMILY HEALTH CARE MATERNITY,,Maternity,rivate,SOWUTUOM ROAD SANTA MARIA  BOX 0D 47  ODORKOR,Antenatal  Post-natal,yes
JULITET PHARMACY,,Pharmacy,rivate,NO. 154A-NII KPALEPA OSIAKWA  GHANA  P.O. BOX OS2979,Pharmacy,yes
KAJUL MEDICAL LABORATORY SERVICES LIMITED,Greater Accra Region,Laboratory,rivate,HOSPITAL ROAD,Laboratory,yes
KANESHIE POLYCLINIC,Greater Accra Region,POLYClinic,overnment,KANESHIE,General,yes
KAPTPHARM LTD,Greater Accra Region,Pharmacy,rivate,20 OKAIMAN TABORA JUNCTION,Pharmacy,yes
KASSEH HEALTH CENTRE,Greater Accra Region,Health Centre,overnment,KASSEH,General,yes
KATE OSSEI LICENSED CHEMICAL SHOP,,Chemical Shop,rivate,SOUTH OFANKOR  7 DAYS STATION  BOX AT/11 ACHIMOTA MARKET,Pharmacy,yes
KING DAVID CLINIC,Greater Accra Region,Clinic,rivate,ALAGO ROAD KOTOBABI,General,yes
KOJO ASHONG COMMUNITY CLINIC,Greater Accra Region,CHPS Compound,overnment,KOJO ASHONG,General,yes
KOKROBITE HEALTH CENTRE,Greater Accra Region,Health Centre,overnment,KOKROBITE-TUBA RD,General,yes
KPONE HEALTH CENTRE,,Health Centre,overnment,KPONE  BOX 1 KPONE,General,yes
LA GENERAL HOSPITAL,Greater Accra Region,Primary Hospital,overnment,LA,General,yes
LA ROAD DENTAL CLINIC,Greater Accra Region,Dental Clinic,rivate,LA ROAD,Dental,yes
LAPAZ COMMUNITY HOSPITAL,Greater Accra Region,Primary Hospital,rivate,3RD DZANI KOFI STREET LAPAZ,General,yes
LAPAZ COMMUNITY HOSPITAL ANNEXE,Greater Accra Region,Clinic,rivate,BLOCK NO. 3A/G836 KISSIEMAN,General,yes
LEKMA HOSPITAL,,Primary Hospital,overnment,TESHIE-TSUIBLEOO  PMB TESHIE,General,yes
LEKPONGUNOR CHPS,Greater Accra Region,CHPS Compound,overnment,LEKPONGUNOR,General,yes
LIFETIME PHARMACY,Greater Accra Region,Pharmacy,rivate,7TH KWAME NKRUMAH AVENUE-TUNISIA HOUSE,Pharmacy,yes
LIFEVIEW COMPANY LIMITED,Greater Accra Region,Diagnostic Centre,rivate,OPPOSITE KOTOBABI POLICE STATION,Diagnostic,yes
LINK ROAD HOSPITAL,Greater Accra Region,Primary Hospital,rivate,NO. 3 STREET SCORPION,General,yes
LIZZIE'S MATERNITY HOME,Greater Accra Region,Maternity Home,rivate,7 DAYS ROAD OFANKOR,Antenatal  Post-natal,yes
LONGVIEW PHARMACEUTICAL COMPANY LTD,Greater Accra Region,Pharmacy,rivate,82 KOJO THOMPSON RD ADABRAKA,Pharmacy,yes
LOVING CARE CLINIC SCAN CENTRE,Greater Accra Region,Clinic,rivate,OPPOSITE ASUTSUARE Health Centre,General,yes
LYYNAT PHARMACY LTD,Greater Accra Region,Pharmacy,rivate,TWUM TAWIAH ST,Pharmacy,yes
M & G MEDICAL LABORATORY,Greater Accra Region,Laboratory,rivate,EBENEZER CRESCENT,Laboratory,yes
MAAMOBI POLYCLINIC,Greater Accra Region,POLYClinic,overnment,MAAMOBI,General,yes
MAB MEDICARE CENTRE,Greater Accra Region,Primary Hospital,rivate,TRAKO ST. DARKUMAN NYAMEKYE,General,yes
MADINA POLYCLINIC,Greater Accra Region,clinic,overnment,MADINA RAWLINGS CIRCLE,General,yes
MADINA POLYCLINIC KEKELE,Greater Accra Region,clinic,overnment,KEKELE PARK,General,yes
MAGMITCH PHARMACY LTD,Greater Accra Region,pharmacy,rivate,Mamobi Gutter,General services  pharmacy,yes
MALDEY MEDICAL CENTRE,,Clinic,rivate,RP/G/15/N5C2  P. O. BOX CO 1880  TEMA,General,yes
MAMPROBI POYCLINIC,Greater Accra Region,POLYClinic,overnment,EBENEZER CRESCENT,General,yes
MANHEAN HEALTH CENTER,,Health Centre,overnment,MANHEAN  BOX 434,General,yes
MANNA MISSION HOSPITAL,Greater Accra Region,Primary Hospital,rivate,1 NII AKRONG BOYE ST TESHIE TSUIBLEOO,General,yes
MARANATHA HEALTH SERVICES,Greater Accra Region,Clinic,rivate,MIMMY STREET 2 ACHIMOTA,General,yes
MARIE STOPES INTRNATIONAL,Greater Accra Region,Clinic(REPRODUCTIVE HEALTH),rivate,MENSA SARBA RD KOKOMLEMLE,,yes
MARIE STOPES INTRNATIONAL  KOKOMLEMLE CENTRE,Greater Accra Region,Clinic(REPRODUCTIVE HEALTH),rivate,MENSAH SARBAH ROAD KOKOMLEMLE,,yes
MAWUENA PHARMACY,Greater Accra Region,Pharmacy,rivate,NEW KWASHIEMAN MOTORWAY JUNCT,Pharmacy,yes
MAYAGA CHEMICAL  SHOP,Greater Accra Region,Chemical Shop,rivate,NII BOI TOWN NBAR TROTRO STATION,Pharmacy,yes
MDS LANCET MEDILAB,Greater Accra Region,Laboratory,rivate,FIRST ANEGE ST DANSOMAN CIRCLE,Laboratory,yes
MECHANICAL LLOYD CLINIC,Greater Accra Region,Clinic,rivate,N 2 ADJUMA CRESCENT S.I.A ACCRA,General,yes
MEDI-TRUST DIAGNOSTIC SERVICES,,Diagnostic Centre,rivate,MADINA ESTATE  BOX 243 MADINA,Diagnostic,yes
MEDISOL PHARMACY,Greater Accra Region,Pharmacy,rivate,14 ABLADE ST NEAR READWIDE BKSHOP KANDA,Pharmacy,yes
MEDITAB PHARMACY,Greater Accra Region,Pharmacy,rivate,ACHIMOTA-GIMPA ROAD,Pharmacy,yes
MEGAVEST MEDICAL CENTRE,Greater Accra Region,Primary Hospital,rivate,B470/21 FIRST LARKAI STREET,General,yes
MENDEL MEDICAL LABORATORY,Greater Accra Region,Laboratory,rivate,ZONGO JUNCTION,Laboratory,yes
MERCY CLINIC,Greater Accra Region,Clinic,rivate,3RD ODUMAN CLOSE MATAHEKO,General,yes
MERCY MATERNITY HOME,Greater Accra Region,Maternity Home,rivate,HAVANA OFF AFIENYA RD OFF LE DOMINO HOTEL ST,Antenatal  Post-natal,yes
MES EQUIPMENT LIMITED,Greater Accra Region,laboratory,rivate,ACHIMOTA,,no
MIDWATCH PHARMACY,Greater Accra Region,Pharmacy,rivate,HNO. 300 AIKINS ST NORTH KWASHIEMAN,Pharmacy,yes
MIDWAY CLINIC LTD,Greater Accra Region,Clinic,rivate,DORMAN STREET-ABOFU,General,yes
MILE 7 CHEMIST,,Pharmacy,rivate,MILE 7 ROAD  BOX 267  KANESHIE,Pharmacy,yes
MILE 7 CHEMIST PHARMACY,Greater Accra Region,Pharmacy,rivate,NO. 1 STATE HOUSING MILE 7 PARK,Pharmacy,yes
MISSION CLINIC,Greater Accra Region,Primary Hospital,rivate,OLYMPICS ROAD,General,yes
MOKAT CHEMIST LTD,Greater Accra Region,Pharmacy,rivate,SOUTH LA ESTATES,Pharmacy,yes
MOTHER LOVE HEATH CARE,Greater Accra Region,Primary Hospital,rivate,NO. 3 MOTHERLOVE STREET  ACCRA-DODOWA ROAD,General,yes
MOTHER OF GOD CLINIC,Greater Accra Region,Clinic,rivate,ASHAIMAN LEBANON,General,yes
MOTHER OF GOD CLINIC,Greater Accra Region,Maternity Home,rivate,ASHAIMAN-LEBANON EMAOHIEIGONN AV,Antenatal  Post-natal,yes
MUHAMMED AL - AYAR CLINIC,Greater Accra Region,Clinic,rivate,AKWETEMAN-ZONGO,General,yes
MULTICHOICE MEDICAL DIAGNOSTIC CENTRE,Greater Accra Region,Diagnostic Centre,rivate,BEECHAM ST SAHARA DANSOMAN,Diagnostic,yes
MYCRO CHEMIST,Greater Accra Region,Pharmacy,rivate,105 ROYAL CASTLE ROAD KOKOMLEMLE,Pharmacy,yes
NADELA HOSPITAL,Greater Accra Region,Primary Hospital,rivate,BETHLEHEM,General,yes
NARH BITA HOSPITAL,Greater Accra Region,Primary Hospital,rivate,OPP CHEMU HIGH SCHOOL,General,yes
NEPTUNE MEDICAL CENTRE,Greater Accra Region,Primary Hospital,rivate,10 COCONUT CLOSE COMM 20 LASHIBI,General,yes
NEW CRYSTAL (AFENYO MEMORIAL) HOSPITAL,Greater Accra Region,Primary Hospital,rivate,ASHAIMAN-NIGHT MARKET,General,yes
NEW CRYSTAL CLINIC  ADJEI KWADWO,Greater Accra Region,Clinic,rivate,ADJEI-KOJO TAXI RANK,General,yes
NEW CRYSTAL CLINIC  ASHAIMAN,Greater Accra Region,Clinic,rivate,OPPOSITE ASHAIMAN MAIN LORRY PARK,General,yes
NEW CRYSTAL CLINIC  MICHEL CAMP,Greater Accra Region,Clinic,rivate,MICHEL CAMP RD  AKOSOMBO RD,General,yes
NEW CRYSTAL CLINIC  TEMA,Greater Accra Region,Clinic,rivate,ADJACENT ST JOSEPH ROMAN CATH CHURCH. COMMUNITY 8,General,yes
NEW EDEN MATERNITY HOME,Greater Accra Region,Maternity Home,rivate,ASH NEW TOWN ROAD/NII AMOI PARK,Antenatal  Post-natal,yes
NEW GENERATION MEDICAL CENTRE,Greater Accra Region,Clinic,rivate,H/NO 8 3RD STREET SOUTH ODORKOR ESTATE,General,yes
NEW NINGO CHPS ZONE,Greater Accra Region,CHPS Compound,overnment,NEW NINGO,General,yes
NEWSTAR EAR CENTRE,Greater Accra Region,diagnostic centre,rivate,Tema,general services       pediatrics    ,yes
NIGHTINGALE CLINIC,Greater Accra Region,Clinic,rivate,AMOA ST DANSOMAN SAHARA,General,yes
NIMA GOVERNMENT CLINIC,Greater Accra Region,Health Centre,overnment,NIMA,General,yes
NIMA PHARMACY,Greater Accra Region,Pharmacy,rivate,NIMA HIGHWAY,Pharmacy,yes
NORTH LEGON HOSPITAL,,Primary Hospital,rivate,KOFI ANNAN AVENUE OFF HAATSO ROAD  P. O. BOX CT 1902  CANTOMENTS ACCRA,General,yes
NORTH WESTERN EYE CENTRE,Greater Accra Region,EYE Clinic,rivate,331/15 KPAKPO MANKRALO ST MATAHEKO,Eye care,yes
NOSTRA KLINIK LTD,Greater Accra Region,Clinic,rivate,COMMUNITY II STATION,General,yes
NSAKINA CHPS,Greater Accra Region,CHPS Compound,overnment,NSAKINA,General,yes
NUNGUA MEDICAL LABORATORY LTD,Greater Accra Region,Laboratory,rivate,H/NO 267/1 TESHIE NUNGUA,Laboratory,yes
NYAME ADOM MATERNITY HOME,Greater Accra Region,Maternity Home,rivate,TEMA,Antenatal  Post-natal,yes
NYAME BEKYERE HEALTH CENTRE,Greater Accra Region,Health Centre,overnment,ASHAIMA LEBANON,General,yes
NYIBENYA CHPS ZONE,Greater Accra Region,CHPS Compound,overnment,TSOPO TEMA AFLAO ROAD,General,yes
OAK STREET CLINIC,Greater Accra Region,Clinic,rivate,NUMBER ONE OAK STREET,General,yes
OAKLEX PHARMACY,Greater Accra Region,Pharmacy,rivate,ELMINA ROAD LAKESIDE ESTATE,Pharmacy,yes
OBENGFO HOSPITAL,Greater Accra Region,Clinic,rivate,H/NO A366/19 AKWEIBU STREET,General,yes
OBOM HEALTH CENTER,Greater Accra Region,CHPS Compound,overnment,KASOA,General,yes
ODORNA CLINIC,Greater Accra Region,Clinic,rivate,ODORNA GARAGES,General,yes
ODORNA CLINIC,Greater Accra Region,health centre,rivate,Adabraka Adjacent Old Timers Restaurant,general services  scan ECG services antenatal pharmacy laboratory pediatrics surgery dental eye services ,yes
ODORNA MEDICAL CENTRE,Greater Accra Region,health centre,rivate,Adabraka,general services  scan ECG services antenatal pharmacy laboratory pediatrics surgery dental eye services ,yes
ODUMAN HEALTH CENTRE,Greater Accra Region,Health Centre,overnment,ODUMAN,General,yes
OKANTA MEMORIAL CLINIC,Greater Accra Region,Clinic,rivate,NEAR ASHAIMAN ROMAN CATHOLIC CHURCH,General,yes
OLD NINGO HEALTH CENTER,Greater Accra Region,Health Centre,overnment,OFF DAWHENYA ROAD,General,yes
OMARI MEDICAL CENTER,Greater Accra Region,Clinic,rivate,MATAHEKO DANGME WEST,General,yes
OPEC GOVERNMENT CLINIC,Greater Accra Region,Primary Hospital,overnment,TESHIE,General,yes
OPHYL PHARMACY,Greater Accra Region,Pharmacy,rivate,NII ODAI AYIKU STREET,Pharmacy,yes
OPMANN CLINIC,Greater Accra Region,Clinic,rivate,ACHIMOTA-MALLAM HIGH ST OPP BARCLAYS BANK,General,yes
OPOKU MEMORIAL DENTAL CLINIC,Greater Accra Region,Dental Clinic,rivate,RING ROAD Central,Dental,yes
OPOKU WARE HOSPITAL,,Clinic,rivate,BEHIND SSNIT FLATS  BOX CT 4622. CANTONMENT. ACCRA,General,yes
OSEIBIO,Greater Accra Region,diagnostic centre,rivate,Dzorwulu,general services  scan  ECG services  laboratory ,no
OSU GOVT MATERNITY HOME,Greater Accra Region,Maternity Home,overnment,OSU,Antenatal  Post-natal,yes
OSUDOKU HEALTH CENTER,Greater Accra Region,Health Centre,overnment,ASUTUARE NEAR AREA COUNCIL,General,yes
OSUWEM CHPS ZONE,Greater Accra Region,CHPS Compound,overnment,OSUWEM VIA ASUTUARE,General,yes
OT PHARMACY,Greater Accra Region,Pharmacy,rivate,NORTH KANESHIE,Pharmacy,yes
OTOBIA MEMORIAL CLINIC,Greater Accra Region,clinic,rivate,NO 210 MAIN STREET DOME PILLAR 2,General,yes
OYOKO CLINIC,Greater Accra Region,Clinic,rivate,NO. 47 DZRAASE ROAD ADENTA,General,yes
PALACE PHARMACY LTD,Greater Accra Region,Pharmacy,rivate,,Pharmacy,yes
PARADISE MATERNITY HOME,Greater Accra Region,Maternity Home,rivate,FANMILK ABLEKUMA NEAR ABBIMAN SCH,Antenatal  Post-natal,yes
PARAMEDICA PHARMACY,Greater Accra Region,Pharmacy,rivate,KORE BU FIRST GATE,Pharmacy,yes
PARKER PHARMACY,Greater Accra Region,Pharmacy,rivate,A.914/1 GLOVER ADDO ST KORLE GONNO,Pharmacy,yes
PASSION CLINIC,Greater Accra Region,Clinic,rivate,EMMANUEL VIALLGE OGBOJO,General,yes
